,song,artist,danceability,energy,speechiness,instrumentalness,tempo,valence,hit
250,Outside,MO3 X OG Bobby Billions,0.57,0.431,0.178,0.0,154.918,0.433,0
251,Ball If I Want To,DaBaby,0.902,0.669,0.457,0.0,139.949,0.628,1
252,Next Girl,Carly Pearce,0.585,0.872,0.0643,0.0,160.066,0.962,0
253,I Like Dat,T-Pain & Kehlani,0.462,0.541,0.323,0.0,175.55,0.339,0
254,Steal My Love,Dan + Shay,0.59,0.633,0.0328,0.0,179.856,0.751,0
255,5500 Degrees,"EST Gee Featuring Lil Baby, 42 Dugg & Rylo Rodriguez",0.843,0.697,0.349,0.0,98.081,0.792,0
256,Telepatia,Kali Uchis,0.653,0.524,0.0502,0.0,83.97,0.553,1
257,My Ex's Best Friend,Machine Gun Kelly X blackbear,0.731,0.675,0.0434,0.0,124.939,0.298,1
258,NDA,Billie Eilish,0.765,0.373,0.0713,0.525,85.016,0.554,1
259,EPMD 2,Nas Featuring Eminem & EPMD,0.689,0.83,0.302,0.0,94.566,0.703,0
260,Lose,KSI x Lil Wayne,0.742,0.397,0.0369,0.358,100.979,0.644,0
261,I Hope Ur Miserable Until Ur Dead,Nessa Barrett,0.706,0.544,0.0306,0.0,115.935,0.477,0
262,Not Sober,The Kid LAROI Featuring Polo G & Stunna Gambino,0.671,0.639,0.134,0.0,119.82,0.385,1
263,Happier,Olivia Rodrigo,0.395,0.443,0.133,9.67e-06,168.924,0.338,1
264,Twerkulator,City Girls,0.895,0.469,0.0661,4.56e-05,126.917,0.076,0
265,Fiel,"Los Legendarios, Wisin & Jhay Cortez",0.685,0.43,0.0255,0.941,97.976,0.3,0
266,Rare,Nas,0.498,0.851,0.326,4.21e-06,78.025,0.518,0
267,Best Friend,Saweetie Featuring Doja Cat,0.84,0.766,0.136,3.61e-06,94.018,0.402,1
268,Mood,24kGoldn Featuring iann dior,0.773,0.727,0.0943,0.0,90.992,0.68,1
269,One Too Many,Keith Urban Duet With P!nk,0.697,0.535,0.068,0.0,82.959,0.594,0
270,Getting Older,Billie Eilish,0.599,0.128,0.109,0.121,159.679,0.367,0
271,Billie Bossa Nova,Billie Eilish,0.895,0.389,0.11,0.0346,110.023,0.549,0
272,Oxytocin,Billie Eilish,0.757,0.598,0.058,0.551,124.951,0.18,0
273,I Didn't Change My Number,Billie Eilish,0.849,0.48,0.226,0.269,142.021,0.677,0
274,Way Less Sad,AJR,0.701,0.547,0.0483,0.0,140.015,0.4,0
275,Lost Cause,Billie Eilish,0.526,0.334,0.251,0.00782,74.966,0.522,1
276,Halley's Comet,Billie Eilish,0.403,0.159,0.104,0.0121,72.38,0.0381,0
277,My Future,Billie Eilish,0.444,0.309,0.062,0.132,104.745,0.0875,1
278,Build A Bitch,Bella Poarch,0.855,0.463,0.0367,1.77e-05,102.931,0.866,0
279,From The Garden,Isaiah Rashad Featuring Lil Uzi Vert,0.866,0.64,0.413,0.000114,142.04,0.636,0
280,Working,Tate McRae X Khalid,0.79,0.613,0.0698,0.0,105.02,0.729,0
281,Wants And Needs,Drake Featuring Lil Baby,0.578,0.449,0.286,2.17e-06,136.006,0.1,1
